;name;author;narrator;time;releasedate;language;stars;price;ratings
128;Culturally Responsive School Leadership;MuhammadKhalifa,LisaDelpit-foreword;MirronWillis;412;2022-01-18;English;0.0;586.0;0
129;The Happy Money Journey;PhoebeBlamey;PhoebeBlamey,WendySquires,DaveStokes;191;2021-12-06;English;0.0;609.0;0
130;Los raros [The Rare];RubénDarío;SergioBustos;504;2021-08-10;spanish;0.0;234.0;0
131;Hudson Taylor: An Adventure Begins;CatherineMackenzie;JoeGeoffrey;231;2017-10-31;English;0.0;586.0;0
132;Suddenly That Summer;JenniferRose;TeriClarkLinden;283;2015-11-02;English;0.0;501.0;0
133;La via delle spezie;MatteoBellizzi,StefaniaClaudio,FabriziaGalvagno;Mido;6;2015-12-11;italian;0.0;36.0;0
134;Combats et métamorphoses d'une femme;EdouardLouis;IrèneJacob;96;2021-10-20;french;0.0;604.0;0
135;Dangerous When Wet;ShelleyTaylor-Smith;DanielleCrosbie;467;2012-12-30;English;0.0;468.0;0
136;Chasers of the Light;TylerKnottGregson;TylerKnottGregson;56;2016-08-11;English;0.0;615.0;0
137;Sag niemals, das ist dein letzter Weg;JettaSchapiro-Rosenzweig;MarliesWenzel;354;2018-08-23;german;0.0;233.0;0
138;The Seducer;ElinPeer;NoelleBridges,JohnMasterson;580;2018-07-24;English;0.0;703.0;0
139;A to Z Mysteries: The Kidnapped King;RonRoy;DavidPittu;61;2010-09-14;English;0.0;402.0;0
140;The Princess Stakes;AmalieHoward;AnaisInaraChase;634;2021-07-29;English;0.0;1172.0;0
141;The Cowboy's Honor;AmySandas;PilarWitherspoon;630;2019-02-26;English;0.0;938.0;0
142;Behind the Wheel - Italian 2;MarkFrobose;MarkFrobose;520;2009-09-23;English;0.0;134.0;0
143;Mordsalen;P.D.James;HenrikBorupNielsen;972;2022-01-13;danish;0.0;585.0;0
144;第653回 新刊ラジオ第2部プレミアム　;矢島雅弘,石橋遊;矢島雅弘,石橋遊;15;2018-05-15;japanese;0.0;139.0;0
145;Educated;TaraWestover;JuliaWhelan;730;2018-02-20;English;4.5;820.0;647
146;Targets Entangled;KennedyLayne;RaquelHarris;547;2018-02-01;English;0.0;585.0;0
147;Hot Rods;WendyHinoteLanier;AaronHelming;6;2018-04-24;English;0.0;93.0;0
148;新刊ラジオ第2部プレミアム　第418回;矢島雅弘,石橋遊;矢島雅弘,石橋遊;21;2018-05-16;japanese;0.0;139.0;0
149;Just Like You;NickHornby;BenBaileySmith,HattieLadbury;486;2020-09-17;English;4.0;888.0;1
150;Echo;ThomasOldeHeuvelt,GabrieleHaefs;MatthiasLühn;1206;2021-10-25;german;0.0;1005.0;0
151;Circus Shoes;NoelStreatfeild;JanetStreatfeild;506;2021-06-03;English;0.0;410.0;0
152;Men and Rubber, The Story of Business;HarveyS.Firestone;MerelynSmith;164;2015-09-03;English;5.0;281.0;1
153;Tell Me to Stop;CharlotteByrd;BrittanyA;232;2019-08-02;English;0.0;501.0;0
154;The Troll Bridge;PattiO'Shea;TaraOchs;81;2013-03-09;English;0.0;233.0;0
155;Великие тайны археологии;АлександрВолков;АлександрКотов;540;2021-01-29;russian;0.0;166.0;0
156;A Season in the Keys;HopeHolloway;AmyMcFadden;483;2021-10-05;English;0.0;1005.0;0
157;Uncommon Sense for Parents with Teenagers;MichaelRieraPh.D.;MichaelRieraPh.D.;190;2001-06-20;English;0.0;74.0;0
158;Who Do I Think I Am?;AnjelahJohnson-Reyes;AnjelahJohnson-Reyes;524;2022-03-15;English;0.0;500.0;0
159;Nuove avventure di Lupo Uragano;PininCarpi;PinoCostalunga;171;2022-03-24;italian;0.0;305.0;0
160;保育園義務教育化;古市憲寿;白石兼斗;256;2020-01-10;japanese;0.0;697.0;0
